Year,Month,Open,Max,Min,Close,Average,Month%Ch,Total%Ch
2017,June,1.21,1.235,1.095,1.165,1.176,-3.72%,-3.72%
2017,July,1.165,1.189,1.055,1.122,1.133,-3.69%,-7.27%
2017,August,1.122,1.227,1.089,1.158,1.149,3.21%,-4.30%
2017,September,1.158,1.252,1.11,1.181,1.175,1.99%,-2.40%
2017,October,1.181,1.314,1.166,1.24,1.225,5.00%,2.48%
2017,November,1.24,1.352,1.199,1.275,1.267,2.82%,5.37%
2017,December,1.275,1.401,1.243,1.322,1.31,3.69%,9.26%
2018,January,1.322,1.471,1.305,1.388,1.372,4.99%,14.71%
2018,February,1.388,1.544,1.37,1.457,1.44,4.97%,20.41%
2018,March,1.457,1.622,1.438,1.53,1.512,5.01%,26.45%
2018,April,1.53,1.703,1.511,1.607,1.588,5.03%,32.81%
2018,May,1.607,1.788,1.586,1.687,1.667,4.98%,39.42%
2018,June,1.687,1.706,1.512,1.609,1.629,-4.62%,32.98%
2018,July,1.609,1.79,1.588,1.689,1.669,4.97%,39.59%
2018,August,1.689,1.813,1.607,1.71,1.705,1.24%,41.32%
2018,September,1.71,1.8,1.596,1.698,1.701,-0.70%,40.33%
2018,October,1.698,1.86,1.65,1.755,1.741,3.36%,45.04%
2018,November,1.755,1.86,1.65,1.755,1.755,0.00%,45.04%
2018,December,1.755,1.954,1.732,1.843,1.821,5.01%,52.31%
2019,January,1.843,2.051,1.819,1.935,1.912,4.99%,59.92%
2019,February,1.935,2.108,1.87,1.989,1.976,2.79%,64.38%
2019,March,1.989,2.083,1.847,1.965,1.971,-1.21%,62.40%
2019,April,1.965,2.187,1.939,2.063,2.039,4.99%,70.50%
2019,May,2.063,2.296,2.036,2.166,2.14,4.99%,79.01%
2019,June,2.166,2.292,2.032,2.162,2.163,-0.18%,78.68%
